ville,departement,code_region,nom_region,prix_m2,prix_estime,loyer_m2,loyer_annuel,rendement_brut,categorie_rendement,score_investissement,nombre_transactions
Albert,80,32,Hauts-de-France,2119.1469724372464,105957.34862186231,8.31528402465807,4989.170414794842,4.708659172475198,Moyen,0.3755111894070731,169
Albertville,73,84,Auvergne-Rhône-Alpes,3224.894309940962,161244.7154970481,14.6785487904296,8807.12927425776,5.461964596550758,Bon,0.596178154446576,352
Albi,81,76,Occitanie,3007.360340090575,150368.01700452875,9.33634840864616,5601.809045187696,3.725399294864001,Moyen,0.9662332149749653,780
Albias,82,76,Occitanie,1863.9025115643362,93195.12557821682,9.11447098544614,5468.682591267683,5.867992083639532,Bon,0.14481853754297136,46
Albiez-Montrond,73,84,Auvergne-Rhône-Alpes,2585.0759671357832,129253.79835678916,9.51339282517966,5708.035695107796,4.416145419070369,Moyen,0.07516622370459332,44
Albitreccia,2A,94,Corse,6751.390282189573,337569.5141094786,14.6335692375759,8780.14154254554,2.6009877004764164,Faible,0.023885634023402727,62
Alfortville,94,11,Île-de-France,5624.788143965741,281239.4071982871,20.220041160182,12132.0246961092,4.313771251677951,Moyen,0.36812234484364753,480
Alixan,26,84,Auvergne-Rhône-Alpes,3606.2366358562153,180311.83179281076,10.3833689418413,6230.021365104782,3.4551373047241043,Moyen,0.04024022310559165,42
Alizay,27,28,Normandie,2437.0036762676436,121850.18381338219,11.3121132387431,6787.26794324586,5.570174562593026,Bon,0.09142660910752409,40
Allaire,56,53,Bretagne,3326.8616032296263,166343.0801614813,9.00545615656339,5403.273693938034,3.248270795931327,Moyen,0.07322826698241658,75
Allan,26,84,Auvergne-Rhône-Alpes,3416.2991450174254,170814.95725087126,10.0811418206249,6048.685092374941,3.5410746164877134,Moyen,0.043533990315044666,42
Allassac,19,75,Nouvelle-Aquitaine,2039.5373667457948,101976.86833728974,8.9671939489067,5380.31636934402,5.276016470273002,Bon,0.20694953890219547,80
Allauch,13,93,Provence-Alpes-Côte d’Azur,4854.7426145900545,242737.13072950274,17.0474803395508,10228.488203730478,4.213812766506138,Moyen,0.2013710384751211,232
Alleins,13,93,Provence-Alpes-Côte d’Azur,3742.400151114744,187120.0075557372,11.9661711506909,7179.7026904145405,3.8369508339592877,Moyen,0.03383373567974567,33
Allennes-Les-Marais,59,32,Hauts-de-France,2801.4953955306387,140074.76977653193,11.380352575147,6828.211545088201,4.874690535620068,Moyen,0.06612120107321329,38
Allevard,38,84,Auvergne-Rhône-Alpes,3163.5626276501716,158178.13138250858,11.3537177194922,6812.230631695321,4.3066829606311945,Moyen,0.1769741430084835,130
Allex,26,84,Auvergne-Rhône-Alpes,3526.2250096183816,176311.2504809191,10.0969656782791,6058.17940696746,3.4360708068502372,Moyen,0.03995176220932822,41
Allinges,74,84,Auvergne-Rhône-Alpes,4525.179104703182,226258.9552351591,19.7427005513508,11845.620330810481,5.235426071201867,Bon,0.08792853767882866,76
Allonnes,49,52,Pays de la Loire,1936.562943192423,96828.14715962115,9.80069237669169,5880.4154260150135,6.073043426433795,Bon,0.10662368461846178,34
Allonnes,72,52,Pays de la Loire,1465.1931515354597,73259.65757677298,9.22341466339905,5534.04879803943,7.554019471412331,Excellent,0.7011680658181221,136
Allonzier-La-Caille,74,84,Auvergne-Rhône-Alpes,4485.998182713822,224299.9091356911,16.4222217223902,9853.33303343412,4.392927786463484,Moyen,0.03231535347292469,33
Allos,04,93,Provence-Alpes-Côte d’Azur,3247.701882616276,162385.0941308138,7.64075828079521,4584.454968477126,2.823199378622764,Faible,0.2355779745985897,271
Allouagne,62,32,Hauts-de-France,1751.4510105885197,87572.55052942598,8.27622999308138,4965.737995848828,5.670427509337244,Bon,0.13921507448819287,43
Alzonne,11,76,Occitanie,2879.607467592186,143980.3733796093,8.09308518271894,4855.851109631364,3.372578495006915,Moyen,0.04333417166041609,37
Amancy,74,84,Auvergne-Rhône-Alpes,4848.5446460206895,242427.23230103447,19.0396932190641,11423.815931438461,4.7122659542030805,Moyen,0.03984760752505235,41
Ambazac,87,75,Nouvelle-Aquitaine,1916.6422279181538,95832.11139590769,8.24903306634062,4949.419839804373,5.164677859759362,Bon,0.3125792717104161,116
Ambert,63,84,Auvergne-Rhône-Alpes,1783.5679276360572,89178.39638180286,7.06376469672145,4238.25881803287,4.752562268430408,Moyen,0.40502492425891384,152
Ambillou,37,24,Centre-Val de Loire,2180.5548413984957,109027.74206992479,8.90551189330079,5343.307135980474,4.900869296691067,Moyen,0.07192106087711735,32
Ambilly,74,84,Auvergne-Rhône-Alpes,5276.362595700286,263818.1297850143,18.7991937038202,11279.51622229212,4.2754894182154235,Moyen,0.11911557120616202,147
Ambleteuse,62,32,Hauts-de-France,3661.7098336252775,183085.49168126387,10.4564344862844,6273.86069177064,3.4267383145207884,Moyen,0.03556154416060584,38
Amboise,37,24,Centre-Val de Loire,3201.4883383174933,160074.41691587467,10.7635460466457,6458.127627987421,4.034453320158847,Moyen,0.2873211643430933,228
Ambon,56,53,Bretagne,3266.2572663630867,163312.86331815433,11.0837158417734,6650.229505064039,4.072079424698189,Moyen,0.04737502453713024,38
Ambronay,01,84,Auvergne-Rhône-Alpes,2955.9112670080385,147795.56335040194,9.53908420915092,5723.450525490552,3.872545559382643,Moyen,0.0641950029176006,49
Amfreville-Saint-Amand,27,28,Normandie,1936.573287982856,96828.6643991428,10.7853009500544,6471.18057003264,6.683124888883553,Bon,0.11043217304057275,32
Amiens,80,32,Hauts-de-France,3838.766105612863,191938.30528064317,12.4633929220653,7478.03575323918,3.8960621968111826,Moyen,2.251105098560722,2218
Amilly,45,24,Centre-Val de Loire,1852.2674440848373,92613.37220424187,9.78191341522952,5869.1480491377115,6.337257686929246,Bon,0.674006212392232,197
Amou,40,75,Nouvelle-Aquitaine,1762.9806900770864,88149.03450385432,8.93317846941022,5359.907081646132,6.080505716045897,Bon,0.1414086585071905,41
Amplepuis,69,84,Auvergne-Rhône-Alpes,2418.9462762316084,120947.31381158042,9.25556389453356,5553.338336720136,4.591535075654088,Moyen,0.14236162830806268,75
Ancelle,05,93,Provence-Alpes-Côte d’Azur,3172.286549306293,158614.32746531465,9.89717733005462,5938.3063980327715,3.7438650675055465,Moyen,0.07199090169448245,61
Ancerville,55,44,Grand Est,1328.5399778576823,66426.99889288412,8.58386721279546,5150.320327677276,7.753353927643711,Excellent,0.19258786628673896,33
Andernos-Les-Bains,33,75,Nouvelle-Aquitaine,5376.0123322694,268800.61661347,15.0334384032649,9020.063041958942,3.355670517277724,Moyen,0.21347408561924255,342
Andeville,60,32,Hauts-de-France,2642.63720839382,132131.860419691,12.6199851135665,7571.9910681399,5.730632297228657,Bon,0.10408933522666994,48
Andilly,17,75,Nouvelle-Aquitaine,2717.4889556682833,135874.44778341416,13.2011456193045,7920.6873715827005,5.8294164214072035,Bon,0.06435444467122374,30
Andon,06,93,Provence-Alpes-Côte d’Azur,2576.6143967327293,128830.71983663646,11.0006224106332,6600.37344637992,5.123291599045252,Bon,0.07953524757979823,40
Anduze,30,76,Occitanie,2885.5742471305807,144278.71235652902,9.9006946797674,5940.41680786044,4.117320366140362,Moyen,0.10558789377794132,74
Anet,28,24,Centre-Val de Loire,2379.338317369246,118966.9158684623,10.8577102157794,6514.626129467641,5.475998164624729,Bon,0.13808876504824302,60
